# R  L  v_R  v_phi   x  y
9.27051 2.0464 -0.000770675 0.220743 1.91534 -9.07049
5.00519 1.16262 -0.0100974 0.232284 0.921 -4.91972
2.78196 0.587672 0.0203707 0.211244 0.927961 -2.62263
4.69783 1.02848 0.00963741 0.218926 -4.14914 2.20324
5.65834 1.17711 -0.00102078 0.208031 -5.65646 -0.145703
6.01157 1.27708 -0.0237089 0.212436 0.815981 -5.95593
2.1276 0.451631 0.0140434 0.212272 2.00554 0.710273
2.29441 0.520865 -0.00425605 0.227015 1.19783 -1.95691
2.40511 0.533829 -0.0269297 0.221956 -2.35293 0.498262
6.78811 1.51024 -0.00502179 0.222483 4.57777 5.01223
2.7788 0.62235 0.00634933 0.223963 -2.51101 -1.1902
8.67847 1.89513 -0.000963714 0.218372 -0.936896 -8.62775
17.3846 3.7789 -0.000991689 0.217371 -9.83425 14.3357
7.4517 1.56529 -0.00783854 0.210058 7.29468 -1.52168
7.12663 1.53212 -0.0117016 0.214985 1.64374 -6.93448
2.16748 0.469249 -0.0161413 0.216496 -1.87191 1.09266
3.60176 0.764879 0.00154055 0.212363 2.78172 -2.28795
6.23319 1.38006 0.00497331 0.221406 -6.19667 -0.673782
7.15725 1.60335 0.00579621 0.224018 -2.62301 6.65928
3.30995 0.737054 -0.000865944 0.222679 -2.59866 2.05005
3.24989 0.665953 -0.0105639 0.204915 0.960906 3.10459
5.40272 1.18197 -0.00366459 0.218774 2.92973 -4.53939
2.19676 0.480816 0.00226857 0.218875 1.99851 -0.911979
3.29213 0.779485 0.0212489 0.236772 -1.88083 -2.70197
5.67537 1.21923 0.00198421 0.214829 1.11037 5.56569
13.3626 2.90608 0.0026207 0.217479 -11.4359 6.91221
7.84377 1.67924 0.00689388 0.214086 -3.99712 6.74891
2.56098 0.545028 0.0102193 0.21282 0.711766 -2.46009
11.1276 2.4398 -0.00770038 0.219256 8.19675 -7.52579
5.02285 1.12182 -0.0114845 0.223343 -4.71984 -1.71816
9.5727 2.05537 -0.00117844 0.214712 2.91182 9.1191
7.9782 1.7378 -0.00448605 0.217819 -6.91652 -3.97661
2.95162 0.654996 -0.0128904 0.221911 2.9063 0.515216
9.62736 2.13142 -0.0105358 0.221392 3.58818 8.93371
12.8092 2.77864 -0.000787335 0.216926 10.8743 6.76939
4.5277 1.03418 0.00472855 0.228412 4.30698 -1.39642
2.6681 0.559199 -0.00109917 0.209587 1.56811 2.15866
8.34525 1.86584 0.0033187 0.223581 4.06331 -7.28922
4.87197 1.0143 -0.0117951 0.208191 4.53877 1.77078
7.24048 1.60581 0.00774903 0.221782 6.17867 3.77472
5.12747 1.12546 -0.004906 0.219497 -4.25426 2.8622
2.64832 0.586678 -0.0117975 0.221528 -1.59721 2.11247
5.88319 1.27963 -0.00232639 0.217507 0.992019 5.79895
3.0229 0.685433 0.0132463 0.226747 -0.289714 -3.00898
3.30347 0.760958 0.00890624 0.230351 3.11196 1.10842
3.35281 0.728391 -0.00942124 0.217248 3.12397 -1.21741
4.39083 0.963077 -0.0126874 0.219338 0.448356 -4.36788
5.1791 1.1067 0.00168991 0.213687 0.737177 5.12637
6.5032 1.44965 -0.00701424 0.222914 -3.00324 5.7682
3.08074 0.679122 0.0187325 0.220441 -2.52001 1.77215
2.01793 0.465576 0.0243605 0.230719 2.00326 -0.242889
13.1858 2.89298 -0.00261718 0.219401 -13.0272 2.03933
9.08343 1.96852 0.0086429 0.216715 8.65518 2.75617
3.99128 0.899654 0.00512083 0.225405 2.0268 -3.43837
3.19479 0.702592 -0.00366305 0.219918 0.847964 3.0802
9.09555 2.03265 0.00732079 0.223478 -7.76166 -4.74192
3.48658 0.727138 -0.0152936 0.208553 -3.11246 -1.57125
2.0698 0.469404 0.0136015 0.226788 -0.965726 -1.83069
2.68835 0.555611 -0.0040568 0.206674 2.0658 -1.72038
2.01534 0.451064 -0.00162759 0.223815 -0.886195 -1.81005
15.0313 3.24998 -0.00361586 0.216215 14.093 -5.22758
4.26412 0.960768 -0.00267221 0.225315 -2.87773 3.14665
4.37133 0.923528 0.0106224 0.211269 0.692315 4.31616
3.17771 0.682669 -0.00421657 0.21483 1.81274 2.60995
2.44721 0.591979 0.00491042 0.2419 -0.794996 2.31448
5.27074 1.10732 0.000161874 0.210089 -0.693983 5.22486
