# id  R  x  y  vR  vphi  Lz0  Lz_end  dLz  JR0  JR_end  dJR  eR0  eR_end  deR  vR_end
0 9.27051 1.91534 -9.07049 -0.000770675 0.220743 2.0464 2.04557 -0.00083441 5.07299e-05 5.24458e-05 1.71591e-06 8.48399e-07 8.77453e-07 2.90542e-08 -0.00014716
1 5.00519 0.921 -4.91972 -0.0100974 0.232284 1.16262 1.16189 -0.000730762 0.00677912 0.00714519 0.000366074 0.000199179 0.000210046 1.08661e-05 -0.0114511
2 2.78196 0.927961 -2.62263 0.0203707 0.211244 0.587672 0.587673 1.06357e-06 0.0049105 0.00490959 -9.1079e-07 0.000285199 0.000285145 -5.32386e-08 -0.000801972
3 4.69783 -4.14914 2.20324 0.00963741 0.218926 1.02848 1.02847 -2.83279e-06 0.00143095 0.00142441 -6.53666e-06 4.75952e-05 4.7378e-05 -2.1719e-07 0.00896647
4 5.65834 -5.65646 -0.145703 -0.00102078 0.208031 1.17711 1.17734 0.000233403 0.0050453 0.00496616 -7.9146e-05 0.000146487 0.000144163 -2.32336e-06 -0.0128275
5 6.01157 0.815981 -5.95593 -0.0237089 0.212436 1.27707 1.27905 0.00197677 0.0126884 0.0116669 -0.00102147 0.000338943 0.000311257 -2.76862e-05 0.0102953
6 2.1276 2.00554 0.710273 0.0140434 0.212272 0.45163 0.45163 3.051e-07 0.00210202 0.00210173 -2.82989e-07 0.000159049 0.000159027 -2.14706e-08 -0.00849249
7 2.29441 1.19783 -1.95691 -0.00425605 0.227015 0.520864 0.520863 -1.36946e-06 0.000879491 0.000880922 1.43105e-06 5.77564e-05 5.78504e-05 9.40754e-08 0.00608263
8 2.40511 -2.35293 0.498262 -0.0269297 0.221956 0.533828 0.533841 1.24812e-05 0.00573531 0.0057232 -1.21086e-05 0.000366419 0.00036564 -7.7941e-07 0.0202193
9 6.78811 4.57777 5.01223 -0.00502179 0.222483 1.51024 1.50827 -0.00197247 0.000827614 0.00184125 0.00101363 1.87515e-05 4.17631e-05 2.30117e-05 -0.00299893
10 2.7788 -2.51101 -1.1902 0.00634933 0.223963 0.622349 0.622317 -3.1874e-05 0.000650671 0.00068247 3.17988e-05 3.57693e-05 3.75187e-05 1.74938e-06 -0.00480841
11 8.67847 -0.936896 -8.62775 -0.000963714 0.218372 1.89513 1.89592 0.000786491 0.000172847 0.000157908 -1.49393e-05 3.12133e-06 2.85038e-06 -2.70955e-07 0.00228655
12 17.3846 -9.83425 14.3357 -0.000991689 0.217371 3.77891 3.77893 1.53147e-05 0.000820583 0.000834214 1.36308e-05 7.43115e-06 7.55454e-06 1.234e-07 -0.00113266
13 7.4517 7.29468 -1.52168 -0.00783854 0.210058 1.56529 1.56513 -0.000161182 0.0060038 0.00617124 0.000167439 0.000131106 0.000134772 3.66559e-06 0.0152608
14 7.12663 1.64374 -6.93448 -0.0117016 0.214985 1.53212 1.53269 0.000572412 0.00420329 0.00382393 -0.000379358 9.38084e-05 8.53169e-05 -8.49146e-06 0.0117634
15 2.16748 -1.87191 1.09266 -0.0161413 0.216496 0.46925 0.46925 1.13913e-07 0.00195805 0.00195801 -4.53746e-08 0.000142615 0.000142611 -3.30304e-09 0.00191658
16 3.60176 2.78172 -2.28795 0.00154055 0.212363 0.764881 0.764859 -2.18291e-05 0.00134627 0.00136965 2.33781e-05 6.02034e-05 6.12499e-05 1.04658e-06 -0.00659652
17 6.23319 -6.19667 -0.673782 0.00497331 0.221406 1.38007 1.38058 0.000510295 0.000578315 0.000363092 -0.000215223 1.43396e-05 9.00013e-06 -5.33942e-06 0.00358589
18 7.15725 -2.62301 6.65928 0.00579621 0.224018 1.60335 1.60256 -0.000794246 0.00153925 0.00191967 0.000380426 3.28454e-05 4.09803e-05 8.13491e-06 0.00406384
19 3.30995 -2.59866 2.05005 -0.000865944 0.222679 0.737055 0.737059 3.96201e-06 0.000162031 0.000161015 -1.0156e-06 7.5231e-06 7.47591e-06 -4.71918e-08 -0.00304533
20 3.24989 0.960906 3.10459 -0.0105639 0.204915 0.665952 0.665483 -0.000469137 0.00563582 0.00610647 0.000470648 0.000288839 0.000313109 2.42695e-05 -0.0108796
21 5.40272 2.92973 -4.53939 -0.00366459 0.218774 1.18197 1.18186 -0.000111324 0.000283929 0.000340179 5.62502e-05 8.22049e-06 9.84986e-06 1.62937e-06 -0.00442256
22 2.19676 1.99851 -0.911979 0.00226857 0.218875 0.480816 0.480816 -1.01063e-08 5.39644e-05 5.39692e-05 4.77847e-09 3.841e-06 3.84134e-06 3.40376e-10 -0.00190368
23 3.29213 -1.88083 -2.70197 0.0212489 0.236772 0.779486 0.779492 6.20502e-06 0.0114489 0.0114414 -7.5193e-06 0.000500295 0.000499964 -3.31001e-07 0.0264152
24 5.67537 1.11037 5.56569 0.00198421 0.214829 1.21923 1.21935 0.000111341 0.0010306 0.000974416 -5.61825e-05 2.8921e-05 2.73423e-05 -1.5787e-06 0.00414591
25 13.3626 -11.4359 6.91221 0.0026207 0.217479 2.90608 2.90649 0.000405551 0.000833416 0.00102236 0.000188941 9.81396e-06 1.20369e-05 2.22296e-06 0.00335249
26 7.84377 -3.99712 6.74891 0.00689388 0.214086 1.67924 1.67939 0.000149342 0.00289938 0.00297554 7.61655e-05 5.9058e-05 6.06032e-05 1.54515e-06 -0.0107933
27 2.56098 0.711766 -2.46009 0.0102193 0.21282 0.545029 0.545029 -1.86812e-07 0.00166336 0.00166355 1.89345e-07 0.000104344 0.000104356 1.19034e-08 0.00953727
28 11.1276 8.19675 -7.52579 -0.00770038 0.219256 2.4398 2.44038 0.000581904 0.0021537 0.00212304 -3.06628e-05 3.02021e-05 2.97651e-05 -4.3697e-07 0.00231176
29 5.02285 -4.71984 -1.71816 -0.0114845 0.223343 1.12182 1.12183 1.60397e-05 0.00252799 0.00252631 -1.67468e-06 7.70666e-05 7.70144e-05 -5.21162e-08 0.0114584
30 9.5727 2.91182 9.1191 -0.00117844 0.214712 2.05537 2.05784 0.00246283 0.00173524 0.00172247 -1.27711e-05 2.88855e-05 2.86386e-05 -2.46843e-07 -0.000179271
31 7.9782 -6.91652 -3.97661 -0.00448605 0.217819 1.7378 1.7379 9.25178e-05 0.000753384 0.000735758 -1.76259e-05 1.48349e-05 1.44871e-05 -3.47795e-07 -0.000220731
32 2.95162 2.9063 0.515216 -0.0128904 0.221911 0.654996 0.655014 1.88071e-05 0.0016611 0.00164318 -1.79206e-05 8.67226e-05 8.57853e-05 -9.37297e-07 -0.0125268
33 9.62736 3.58818 8.93371 -0.0105358 0.221392 2.13142 2.12849 -0.00293552 0.00357893 0.00358379 4.86263e-06 5.74351e-05 5.75924e-05 1.5727e-07 0.00945987
34 12.8092 10.8743 6.76939 -0.000787335 0.216926 2.77864 2.77863 -1.38101e-05 0.000796053 0.000792689 -3.36316e-06 9.8039e-06 9.76254e-06 -4.13672e-08 0.00339798
35 4.5277 4.30698 -1.39642 0.00472855 0.228412 1.03418 1.03419 1.31812e-05 0.00245149 0.00245067 -8.18647e-07 8.10645e-05 8.10365e-05 -2.80839e-08 -0.00956418
36 2.6681 1.56811 2.15866 -0.00109917 0.209587 0.5592 0.559213 1.27515e-05 0.00181245 0.00179984 -1.26098e-05 0.000110809 0.000110036 -7.7265e-07 -0.0141514
37 8.34525 4.06331 -7.28922 0.0033187 0.223581 1.86584 1.86582 -1.99767e-05 0.000995773 0.00103268 3.69089e-05 1.82617e-05 1.89387e-05 6.76961e-07 0.00610391
38 4.87197 4.53877 1.77078 -0.0117951 0.208191 1.0143 1.01439 8.80285e-05 0.00628424 0.00624271 -4.15302e-05 0.000211615 0.000210201 -1.41391e-06 0.0122521
39 7.24048 6.17867 3.77472 0.00774903 0.221782 1.60581 1.60504 -0.00076523 0.00155782 0.00192297 0.000365152 3.31907e-05 4.09871e-05 7.7964e-06 0.00495237
40 5.12747 -4.25426 2.8622 -0.004906 0.219497 1.12546 1.12541 -5.00778e-05 0.000404128 0.000400949 -3.17898e-06 1.22876e-05 1.21915e-05 -9.61038e-08 0.00341982
41 2.64832 -1.59721 2.11247 -0.0117975 0.221528 0.586677 0.586675 -2.05995e-06 0.00123371 0.00123611 2.4026e-06 7.19199e-05 7.20601e-05 1.4023e-07 -0.000399843
42 5.88319 0.992019 5.79895 -0.00232639 0.217507 1.27963 1.28002 0.000384902 0.000334474 0.000140582 -0.000193891 8.94477e-06 3.75862e-06 -5.18615e-06 0.00190478
43 3.0229 -0.289714 -3.00898 0.0132463 0.226747 0.685432 0.685326 -0.000106539 0.00266303 0.0027682 0.000105166 0.000132799 0.000138058 5.25899e-06 0.00817916
44 3.30347 3.11196 1.10842 0.00890624 0.230351 0.760957 0.76101 5.36815e-05 0.00323247 0.00317279 -5.96802e-05 0.000145181 0.000142494 -2.68684e-06 0.00360896
45 3.35281 3.12397 -1.21741 -0.00942124 0.217248 0.728389 0.728416 2.70615e-05 0.00110695 0.00108144 -2.55097e-05 5.19853e-05 5.0786e-05 -1.19931e-06 0.00550087
46 4.39083 0.448356 -4.36788 -0.0126874 0.219338 0.963076 0.963158 8.17451e-05 0.00227897 0.00224629 -3.26808e-05 8.09237e-05 7.97574e-05 -1.16635e-06 0.0125155
47 5.1791 0.737177 5.12637 0.00168991 0.213687 1.10671 1.10664 -6.90711e-05 0.00134807 0.00138062 3.25454e-05 4.16715e-05 4.26798e-05 1.0083e-06 -0.00720212
48 6.5032 -3.00324 5.7682 -0.00701424 0.222914 1.44965 1.44997 0.000320989 0.00140054 0.00130504 -9.55002e-05 3.30541e-05 3.0794e-05 -2.26006e-06 -0.00215348
49 3.08074 -2.52001 1.77215 0.0187325 0.220441 0.679122 0.678959 -0.000162915 0.00349126 0.00365405 0.000162794 0.000175648 0.000183868 8.22007e-06 0.0174724
50 2.01793 2.00326 -0.242889 0.0243605 0.230719 0.465575 0.465575 2.29924e-07 0.0055967 0.00559654 -1.65879e-07 0.000409814 0.000409801 -1.23301e-08 0.0286172
51 13.1858 -13.0272 2.03933 -0.00261718 0.219401 2.89299 2.89314 0.000147731 0.000319872 0.000468209 0.000148337 3.78394e-06 5.53833e-06 1.75438e-06 -0.00100806
52 9.08343 8.65518 2.75617 0.0086429 0.216715 1.96851 1.96871 0.000193251 0.0027734 0.00274126 -3.21365e-05 4.81954e-05 4.76325e-05 -5.62882e-07 -0.00260591
