# x [kpc]	y [kpc]	Phi_eff(x,y)
-20	-20	0.355368
-19.9	-20	0.354281
-19.8	-20	0.353199
-19.7	-20	0.352122
-19.6	-20	0.35105
-19.5	-20	0.349983
-19.4	-20	0.348921
-19.3	-20	0.347863
-19.2	-20	0.346811
-19.1	-20	0.345763
-19	-20	0.34472
-18.9	-20	0.343682
-18.8	-20	0.342649
-18.7	-20	0.341621
-18.6	-20	0.340597
-18.5	-20	0.339579
-18.4	-20	0.338565
-18.3	-20	0.337557
-18.2	-20	0.336553
-18.1	-20	0.335554
-18	-20	0.33456
-17.9	-20	0.333571
-17.8	-20	0.332587
-17.7	-20	0.331607
-17.6	-20	0.330633
-17.5	-20	0.329664
-17.4	-20	0.328699
-17.3	-20	0.32774
-17.2	-20	0.326785
-17.1	-20	0.325836
-17	-20	0.324891
-16.9	-20	0.323951
-16.8	-20	0.323016
-16.7	-20	0.322086
-16.6	-20	0.321162
-16.5	-20	0.320242
-16.4	-20	0.319327
-16.3	-20	0.318417
-16.2	-20	0.317512
-16.1	-20	0.316612
-16	-20	0.315717
-15.9	-20	0.314827
-15.8	-20	0.313942
-15.7	-20	0.313062
-15.6	-20	0.312187
-15.5	-20	0.311317
-15.4	-20	0.310453
-15.3	-20	0.309593
-15.2	-20	0.308738
-15.1	-20	0.307888
-15	-20	0.307044
-14.9	-20	0.306204
-14.8	-20	0.305369
-14.7	-20	0.30454
-14.6	-20	0.303715
-14.5	-20	0.302896
-14.4	-20	0.302082
-14.3	-20	0.301273
-14.2	-20	0.300469
-14.1	-20	0.29967
-14	-20	0.298876
-13.9	-20	0.298087
-13.8	-20	0.297303
-13.7	-20	0.296525
-13.6	-20	0.295752
-13.5	-20	0.294983
-13.4	-20	0.29422
-13.3	-20	0.293463
-13.2	-20	0.29271
-13.1	-20	0.291962
-13	-20	0.29122
-12.9	-20	0.290483
-12.8	-20	0.289751
-12.7	-20	0.289024
-12.6	-20	0.288302
-12.5	-20	0.287586
-12.4	-20	0.286875
-12.3	-20	0.286169
-12.2	-20	0.285468
-12.1	-20	0.284773
-12	-20	0.284083
-11.9	-20	0.283398
-11.8	-20	0.282718
-11.7	-20	0.282044
-11.6	-20	0.281374
-11.5	-20	0.280711
-11.4	-20	0.280052
-11.3	-20	0.279399
-11.2	-20	0.278751
-11.1	-20	0.278108
-11	-20	0.277471
-10.9	-20	0.276839
-10.8	-20	0.276213
-10.7	-20	0.275591
-10.6	-20	0.274976
-10.5	-20	0.274365
-10.4	-20	0.27376
-10.3	-20	0.27316
-10.2	-20	0.272566
-10.1	-20	0.271977
-10	-20	0.271394
-9.9	-20	0.270815
-9.8	-20	0.270243
-9.7	-20	0.269676
-9.6	-20	0.269114
-9.5	-20	0.268557
-9.4	-20	0.268007
-9.3	-20	0.267461
-9.2	-20	0.266921
-9.1	-20	0.266387
-9	-20	0.265858
-8.9	-20	0.265335
-8.8	-20	0.264817
-8.7	-20	0.264304
-8.6	-20	0.263798
-8.5	-20	0.263296
-8.4	-20	0.262801
-8.3	-20	0.26231
-8.2	-20	0.261826
-8.1	-20	0.261347
-8	-20	0.260873
-7.9	-20	0.260405
-7.8	-20	0.259943
-7.7	-20	0.259487
-7.6	-20	0.259036
-7.5	-20	0.25859
-7.4	-20	0.25815
-7.3	-20	0.257716
-7.2	-20	0.257288
-7.1	-20	0.256865
-7	-20	0.256448
-6.9	-20	0.256037
-6.8	-20	0.255631
-6.7	-20	0.255231
-6.6	-20	0.254837
-6.5	-20	0.254448
-6.4	-20	0.254065
-6.3	-20	0.253688
-6.2	-20	0.253317
-6.1	-20	0.252951
-6	-20	0.252591
-5.9	-20	0.252237
-5.8	-20	0.251889
-5.7	-20	0.251546
-5.6	-20	0.251209
-5.5	-20	0.250878
-5.4	-20	0.250553
-5.3	-20	0.250234
-5.2	-20	0.24992
-5.1	-20	0.249613
-5	-20	0.249311
-4.9	-20	0.249015
-4.8	-20	0.248724
-4.7	-20	0.24844
-4.6	-20	0.248162
-4.5	-20	0.247889
-4.4	-20	0.247622
-4.3	-20	0.247362
-4.2	-20	0.247107
-4.1	-20	0.246858
-4	-20	0.246615
-3.9	-20	0.246377
-3.8	-20	0.246146
-3.7	-20	0.245921
-3.6	-20	0.245701
-3.5	-20	0.245488
-3.4	-20	0.24528
-3.3	-20	0.245079
-3.2	-20	0.244883
-3.1	-20	0.244694
-3	-20	0.24451
-2.9	-20	0.244332
-2.8	-20	0.24416
-2.7	-20	0.243995
-2.6	-20	0.243835
-2.5	-20	0.243681
-2.4	-20	0.243533
-2.3	-20	0.243392
-2.2	-20	0.243256
-2.1	-20	0.243126
-2	-20	0.243002
-1.9	-20	0.242884
-1.8	-20	0.242773
-1.7	-20	0.242667
-1.6	-20	0.242567
-1.5	-20	0.242474
-1.4	-20	0.242386
-1.3	-20	0.242304
-1.2	-20	0.242229
-1.1	-20	0.242159
-1	-20	0.242096
-0.9	-20	0.242038
-0.8	-20	0.241987
-0.7	-20	0.241942
-0.6	-20	0.241902
-0.5	-20	0.241869
-0.4	-20	0.241842
-0.3	-20	0.241821
-0.2	-20	0.241805
-0.1	-20	0.241796
1.52933e-14	-20	0.241793
0.1	-20	0.241796
0.2	-20	0.241805
0.3	-20	0.241821
0.4	-20	0.241842
0.5	-20	0.241869
0.6	-20	0.241902
0.7	-20	0.241942
0.8	-20	0.241987
0.9	-20	0.242038
1	-20	0.242096
1.1	-20	0.242159
1.2	-20	0.242229
1.3	-20	0.242304
1.4	-20	0.242386
1.5	-20	0.242474
1.6	-20	0.242567
1.7	-20	0.242667
1.8	-20	0.242773
1.9	-20	0.242884
2	-20	0.243002
2.1	-20	0.243126
2.2	-20	0.243256
2.3	-20	0.243391
2.4	-20	0.243533
2.5	-20	0.243681
2.6	-20	0.243835
2.7	-20	0.243995
2.8	-20	0.24416
2.9	-20	0.244332
3	-20	0.24451
3.1	-20	0.244693
3.2	-20	0.244883
3.3	-20	0.245079
3.4	-20	0.24528
3.5	-20	0.245488
3.6	-20	0.245701
3.7	-20	0.245921
3.8	-20	0.246146
3.9	-20	0.246377
4	-20	0.246614
4.1	-20	0.246858
4.2	-20	0.247107
4.3	-20	0.247361
4.4	-20	0.247622
4.5	-20	0.247889
4.6	-20	0.248162
4.7	-20	0.24844
4.8	-20	0.248724
4.9	-20	0.249014
5	-20	0.24931
5.1	-20	0.249612
5.2	-20	0.24992
5.3	-20	0.250234
5.4	-20	0.250553
5.5	-20	0.250878
5.6	-20	0.251209
5.7	-20	0.251546
5.8	-20	0.251888
5.9	-20	0.252237
6	-20	0.252591
6.1	-20	0.252951
6.2	-20	0.253316
6.3	-20	0.253688
6.4	-20	0.254065
6.5	-20	0.254448
6.6	-20	0.254836
6.7	-20	0.255231
6.8	-20	0.255631
6.9	-20	0.256036
7	-20	0.256448
7.1	-20	0.256865
7.2	-20	0.257288
7.3	-20	0.257716
7.4	-20	0.25815
7.5	-20	0.25859
7.6	-20	0.259035
7.7	-20	0.259486
7.8	-20	0.259943
7.9	-20	0.260405
8	-20	0.260873
8.1	-20	0.261347
8.2	-20	0.261826
8.3	-20	0.26231
8.4	-20	0.2628
8.5	-20	0.263296
8.6	-20	0.263797
8.7	-20	0.264304
8.8	-20	0.264817
8.9	-20	0.265335
9	-20	0.265858
9.1	-20	0.266387
9.2	-20	0.266921
9.3	-20	0.267461
9.4	-20	0.268007
9.5	-20	0.268557
9.6	-20	0.269114
9.7	-20	0.269675
9.8	-20	0.270243
9.9	-20	0.270815
10	-20	0.271393
10.1	-20	0.271977
10.2	-20	0.272566
10.3	-20	0.27316
10.4	-20	0.27376
10.5	-20	0.274365
10.6	-20	0.274976
10.7	-20	0.275591
10.8	-20	0.276213
10.9	-20	0.276839
11	-20	0.277471
11.1	-20	0.278108
11.2	-20	0.278751
11.3	-20	0.279399
11.4	-20	0.280052
11.5	-20	0.280711
11.6	-20	0.281374
11.7	-20	0.282044
11.8	-20	0.282718
11.9	-20	0.283398
12	-20	0.284083
12.1	-20	0.284773
12.2	-20	0.285468
12.3	-20	0.286169
12.4	-20	0.286875
12.5	-20	0.287586
12.6	-20	0.288302
12.7	-20	0.289024
12.8	-20	0.289751
12.9	-20	0.290483
13	-20	0.29122
13.1	-20	0.291962
13.2	-20	0.29271
13.3	-20	0.293463
13.4	-20	0.29422
13.5	-20	0.294983
13.6	-20	0.295752
13.7	-20	0.296525
13.8	-20	0.297303
13.9	-20	0.298087
14	-20	0.298876
14.1	-20	0.29967
14.2	-20	0.300469
14.3	-20	0.301273
14.4	-20	0.302082
14.5	-20	0.302896
14.6	-20	0.303715
14.7	-20	0.30454
14.8	-20	0.305369
14.9	-20	0.306204
15	-20	0.307044
15.1	-20	0.307888
15.2	-20	0.308738
15.3	-20	0.309593
15.4	-20	0.310453
15.5	-20	0.311317
15.6	-20	0.312187
15.7	-20	0.313062
15.8	-20	0.313942
15.9	-20	0.314827
16	-20	0.315717
16.1	-20	0.316612
16.2	-20	0.317512
16.3	-20	0.318417
16.4	-20	0.319327
16.5	-20	0.320242
16.6	-20	0.321162
16.7	-20	0.322087
16.8	-20	0.323016
16.9	-20	0.323951
17	-20	0.324891
17.1	-20	0.325836
17.2	-20	0.326785
17.3	-20	0.32774
17.4	-20	0.328699
17.5	-20	0.329664
17.6	-20	0.330633
17.7	-20	0.331607
17.8	-20	0.332587
17.9	-20	0.333571
18	-20	0.33456
18.1	-20	0.335554
18.2	-20	0.336553
18.3	-20	0.337557
18.4	-20	0.338565
18.5	-20	0.339579
18.6	-20	0.340597
18.7	-20	0.341621
18.8	-20	0.342649
18.9	-20	0.343682
19	-20	0.34472
19.1	-20	0.345763
19.2	-20	0.346811
19.3	-20	0.347863
19.4	-20	0.348921
19.5	-20	0.349983
19.6	-20	0.35105
19.7	-20	0.352122
19.8	-20	0.353199
19.9	-20	0.354281

-20	-19.9	0.354281
-19.9	-19.9	0.353194
-19.8	-19.9	0.352111
-19.7	-19.9	0.351034
-19.6	-19.9	0.349961
-19.5	-19.9	0.348894
-19.4	-19.9	0.347831
-19.3	-19.9	0.346772
-19.2	-19.9	0.345719
-19.1	-19.9	0.344671
-19	-19.9	0.343627
-18.9	-19.9	0.342589
-18.8	-19.9	0.341555
-18.7	-19.9	0.340526
-18.6	-19.9	0.339502
-18.5	-19.9	0.338483
-18.4	-19.9	0.337469
-18.3	-19.9	0.336459
-18.2	-19.9	0.335455
-18.1	-19.9	0.334455
-18	-19.9	0.333461
-17.9	-19.9	0.332471
-17.8	-19.9	0.331486
-17.7	-19.9	0.330506
-17.6	-19.9	0.329531
-17.5	-19.9	0.328561
-17.4	-19.9	0.327596
-17.3	-19.9	0.326636
-17.2	-19.9	0.32568
-17.1	-19.9	0.32473
-17	-19.9	0.323785
-16.9	-19.9	0.322844
-16.8	-19.9	0.321909
-16.7	-19.9	0.320978
-16.6	-19.9	0.320053
-16.5	-19.9	0.319132
-16.4	-19.9	0.318216
-16.3	-19.9	0.317306
-16.2	-19.9	0.3164
-16.1	-19.9	0.3155
-16	-19.9	0.314604
-15.9	-19.9	0.313713
-15.8	-19.9	0.312828
-15.7	-19.9	0.311947
-15.6	-19.9	0.311071
-15.5	-19.9	0.310201
-15.4	-19.9	0.309335
-15.3	-19.9	0.308474
-15.2	-19.9	0.307619
-15.1	-19.9	0.306768
-15	-19.9	0.305923
-14.9	-19.9	0.305083
-14.8	-19.9	0.304247
-14.7	-19.9	0.303417
-14.6	-19.9	0.302592
-14.5	-19.9	0.301772
-14.4	-19.9	0.300957
-14.3	-19.9	0.300147
-14.2	-19.9	0.299342
-14.1	-19.9	0.298542
-14	-19.9	0.297748
-13.9	-19.9	0.296958
-13.8	-19.9	0.296174
-13.7	-19.9	0.295395
-13.6	-19.9	0.29462
-13.5	-19.9	0.293851
-13.4	-19.9	0.293088
-13.3	-19.9	0.292329
-13.2	-19.9	0.291575
-13.1	-19.9	0.290827
-13	-19.9	0.290084
-12.9	-19.9	0.289346
-12.8	-19.9	0.288613
-12.7	-19.9	0.287886
-12.6	-19.9	0.287163
-12.5	-19.9	0.286446
-12.4	-19.9	0.285734
-12.3	-19.9	0.285027
-12.2	-19.9	0.284326
-12.1	-19.9	0.28363
-12	-19.9	0.282939
-11.9	-19.9	0.282253
-11.8	-19.9	0.281573
-11.7	-19.9	0.280897
-11.6	-19.9	0.280228
-11.5	-19.9	0.279563
-11.4	-19.9	0.278904
-11.3	-19.9	0.27825
-11.2	-19.9	0.277601
-11.1	-19.9	0.276958
-11	-19.9	0.27632
-10.9	-19.9	0.275687
-10.8	-19.9	0.275059
-10.7	-19.9	0.274437
-10.6	-19.9	0.273821
-10.5	-19.9	0.27321
-10.4	-19.9	0.272604
-10.3	-19.9	0.272003
-10.2	-19.9	0.271408
-10.1	-19.9	0.270818
-10	-19.9	0.270234
-9.9	-19.9	0.269655
-9.8	-19.9	0.269082
-9.7	-19.9	0.268514
-9.6	-19.9	0.267951
-9.5	-19.9	0.267394
-9.4	-19.9	0.266843
-9.3	-19.9	0.266296
-9.2	-19.9	0.265756
-9.1	-19.9	0.265221
-9	-19.9	0.264691
-8.9	-19.9	0.264167
-8.8	-19.9	0.263648
-8.7	-19.9	0.263135
-8.6	-19.9	0.262627
-8.5	-19.9	0.262125
-8.4	-19.9	0.261629
-8.3	-19.9	0.261138
-8.2	-19.9	0.260653
-8.1	-19.9	0.260173
-8	-19.9	0.259699
-7.9	-19.9	0.25923
-7.8	-19.9	0.258767
-7.7	-19.9	0.25831
-7.6	-19.9	0.257858
-7.5	-19.9	0.257412
-7.4	-19.9	0.256972
-7.3	-19.9	0.256537
-7.2	-19.9	0.256108
-7.1	-19.9	0.255684
-7	-19.9	0.255266
-6.9	-19.9	0.254854
-6.8	-19.9	0.254448
-6.7	-19.9	0.254047
-6.6	-19.9	0.253652
-6.5	-19.9	0.253263
-6.4	-19.9	0.25288
-6.3	-19.9	0.252502
-6.2	-19.9	0.25213
-6.1	-19.9	0.251763
-6	-19.9	0.251403
-5.9	-19.9	0.251048
-5.8	-19.9	0.250699
-5.7	-19.9	0.250356
-5.6	-19.9	0.250019
-5.5	-19.9	0.249687
-5.4	-19.9	0.249361
-5.3	-19.9	0.249042
-5.2	-19.9	0.248727
-5.1	-19.9	0.248419
-5	-19.9	0.248117
-4.9	-19.9	0.24782
-4.8	-19.9	0.24753
-4.7	-19.9	0.247245
-4.6	-19.9	0.246966
-4.5	-19.9	0.246693
-4.4	-19.9	0.246426
-4.3	-19.9	0.246164
-4.2	-19.9	0.245909
