# t x y z R phi vx vy vz vR vphi vz_cyl
0 10 0 0.1 10 0 0.0044 0.2156 0.0044 0.0044 0.2156 0.0044
0.01 10.00004376 0.002155999974 0.100043997 10.00004399 0.0002155990506 0.004351606084 0.2155999948 0.004399402414 0.004398089137 0.2155990516 0.004399402414
0.02 10.00008703 0.004311999843 0.100087988 10.00008796 0.0004311962048 0.004303212389 0.2155999791 0.004398804571 0.004396177879 0.2155981036 0.004398804571
0.03 10.00012982 0.006467999504 0.1001319731 10.00013191 0.0006467914635 0.004254818916 0.215599953 0.00439820647 0.004394266225 0.215597156 0.00439820647
0.04 10.00017213 0.008623998852 0.1001759522 10.00017585 0.0008623848273 0.004206425667 0.2155999165 0.004397608112 0.004392354177 0.2155962088 0.004397608112
0.05 10.00021395 0.01077999778 0.1002199253 10.00021976 0.001077976297 0.004158032646 0.2155998696 0.004397009496 0.004390441734 0.2155952621 0.004397009496
0.06 10.00025529 0.01293599619 0.1002638924 10.00026366 0.001293565874 0.004109639853 0.2155998122 0.004396410623 0.004388528896 0.2155943157 0.004396410623
0.07 10.00029614 0.01509199397 0.1003078535 10.00030753 0.001509153559 0.004061247291 0.2155997444 0.004395811492 0.004386615664 0.2155933698 0.004395811492
0.08 10.00033651 0.01724799103 0.1003518086 10.00035139 0.001724739353 0.004012854963 0.2155996661 0.004395212105 0.004384702038 0.2155924243 0.004395212105
0.09 10.0003764 0.01940398725 0.1003957577 10.00039523 0.001940323256 0.00396446287 0.2155995775 0.00439461246 0.004382788018 0.2155914793 0.00439461246
0.1 10.0004158 0.02155998252 0.1004397008 10.00043904 0.002155905269 0.003916071014 0.2155994783 0.004394012557 0.004380873604 0.2155905346 0.004394012557
0.11 10.00045472 0.02371597676 0.100483638 10.00048284 0.002371485393 0.003867679398 0.2155993688 0.004393412398 0.004378958797 0.2155895904 0.004393412398
0.12 10.00049316 0.02587196985 0.1005275691 10.00052662 0.00258706363 0.003819288024 0.2155992488 0.004392811981 0.004377043596 0.2155886466 0.004392811981
0.13 10.00053111 0.02802796168 0.1005714942 10.00057038 0.00280263998 0.003770896894 0.2155991184 0.004392211308 0.004375128002 0.2155877032 0.004392211308
0.14 10.00056857 0.03018395216 0.1006154133 10.00061413 0.003018214443 0.003722506011 0.2155989776 0.004391610377 0.004373212015 0.2155867603 0.004391610377
0.15 10.00060556 0.03233994118 0.1006593264 10.00065785 0.003233787021 0.003674115375 0.2155988263 0.004391009189 0.004371295635 0.2155858177 0.004391009189
0.16 10.00064206 0.03449592864 0.1007032335 10.00070155 0.003449357714 0.00362572499 0.2155986646 0.004390407745 0.004369378863 0.2155848756 0.004390407745
0.17 10.00067807 0.03665191442 0.1007471346 10.00074524 0.003664926524 0.003577334858 0.2155984925 0.004389806043 0.004367461698 0.2155839339 0.004389806043
0.18 10.0007136 0.03880789844 0.1007910296 10.0007889 0.003880493451 0.00352894498 0.2155983099 0.004389204085 0.00436554414 0.2155829926 0.004389204085
0.19 10.00074865 0.04096388057 0.1008349186 10.00083255 0.004096058496 0.003480555359 0.2155981169 0.004388601869 0.004363626191 0.2155820518 0.004388601869
0.2 10.00078322 0.04311986072 0.1008788016 10.00087617 0.004311621659 0.003432165998 0.2155979135 0.004387999397 0.004361707849 0.2155811114 0.004387999397
0.21 10.00081729 0.04527583879 0.1009226786 10.00091978 0.004527182943 0.003383776898 0.2155976996 0.004387396668 0.004359789116 0.2155801713 0.004387396668
0.22 10.00085089 0.04743181466 0.1009665496 10.00096337 0.004742742347 0.003335388061 0.2155974754 0.004386793682 0.004357869991 0.2155792318 0.004386793682
0.23 10.000884 0.04958778824 0.1010104145 10.00100694 0.004958299873 0.003286999489 0.2155972407 0.004386190439 0.004355950475 0.2155782926 0.004386190439
0.24 10.00091663 0.05174375942 0.1010542734 10.00105049 0.00517385552 0.003238611186 0.2155969955 0.00438558694 0.004354030568 0.2155773539 0.00438558694
0.25 10.00094877 0.0538997281 0.1010981262 10.00109402 0.005389409291 0.003190223152 0.2155967399 0.004384983184 0.00435211027 0.2155764155 0.004384983184
0.26 10.00098044 0.05605569417 0.1011419731 10.00113753 0.005604961186 0.00314183539 0.2155964739 0.004384379172 0.00435018958 0.2155754776 0.004384379172
0.27 10.00101161 0.05821165753 0.1011858138 10.00118102 0.005820511206 0.003093447903 0.2155961975 0.004383774903 0.004348268501 0.2155745402 0.004383774903
0.28 10.0010423 0.06036761807 0.1012296485 10.0012245 0.006036059351 0.003045060692 0.2155959107 0.004383170377 0.00434634703 0.2155736031 0.004383170377
0.29 10.00107251 0.06252357569 0.1012734772 10.00126795 0.006251605623 0.002996673759 0.2155956134 0.004382565595 0.00434442517 0.2155726665 0.004382565595
0.3 10.00110224 0.06467953028 0.1013172999 10.00131138 0.006467150023 0.002948287107 0.2155953057 0.004381960557 0.004342502919 0.2155717303 0.004381960557
0.31 10.00113148 0.06683548175 0.1013611164 10.0013548 0.00668269255 0.002899900737 0.2155949875 0.004381355262 0.004340580279 0.2155707945 0.004381355262
