# t Lx Ly Lz KE PE E dE dLz
0 0 -0.06098088881 2.156 0.02326104 0.1114570662 0.1347181062 0 0
0.01 -1.605122215e-06 -0.06097928403 2.156 0.02326082194 0.1114572842 0.1347181062 6.180811861e-16 0
0.02 -3.210936043e-06 -0.06097767926 2.156 0.02326060396 0.1114575022 0.1347181062 1.236162372e-15 -2.059782977e-16
0.03 -4.81744146e-06 -0.06097607448 2.156 0.02326038609 0.1114577201 0.1347181062 2.06027062e-15 -2.059782977e-16
0.04 -6.424638441e-06 -0.06097446971 2.156 0.0232601683 0.1114579379 0.1347181062 2.472324744e-15 0
0.05 -8.03252696e-06 -0.06097286494 2.156 0.02325995061 0.1114581556 0.1347181062 3.296432992e-15 0
0.06 -9.641106993e-06 -0.06097126017 2.156 0.02325973301 0.1114583732 0.1347181062 4.120541241e-15 0
0.07 -1.125037851e-05 -0.0609696554 2.156 0.0232595155 0.1114585907 0.1347181062 4.738622427e-15 0
0.08 -1.28603415e-05 -0.06096805064 2.156 0.02325929809 0.1114588081 0.1347181062 5.356703613e-15 0
0.09 -1.447099592e-05 -0.06096644587 2.156 0.02325908077 0.1114590254 0.1347181062 5.974784799e-15 0
0.1 -1.608234175e-05 -0.06096484112 2.156 0.02325886354 0.1114592426 0.1347181062 6.592865985e-15 0
0.11 -1.769437896e-05 -0.06096323636 2.156 0.02325864641 0.1114594598 0.1347181062 7.210947171e-15 0
0.12 -1.930710754e-05 -0.06096163161 2.156 0.02325842936 0.1114596768 0.1347181062 7.829028357e-15 0
0.13 -2.092052745e-05 -0.06096002686 2.156 0.02325821242 0.1114598938 0.1347181062 8.653136605e-15 0
0.14 -2.253463866e-05 -0.06095842212 2.156 0.02325799556 0.1114601106 0.1347181062 9.477244853e-15 0
0.15 -2.414944116e-05 -0.06095681738 2.156 0.0232577788 0.1114603274 0.1347181062 9.889298977e-15 0
0.16 -2.576493491e-05 -0.06095521265 2.156 0.02325756213 0.111460544 0.1347181062 1.071340723e-14 0
0.17 -2.738111989e-05 -0.06095360792 2.156 0.02325734555 0.1114607606 0.1347181062 1.133148841e-14 0
0.18 -2.899799606e-05 -0.0609520032 2.156 0.02325712907 0.1114609771 0.1347181062 1.19495696e-14 0
0.19 -3.061556341e-05 -0.06095039848 2.156 0.02325691268 0.1114611935 0.1347181062 1.256765078e-14 0
0.2 -3.22338219e-05 -0.06094879377 2.156 0.02325669639 0.1114614098 0.1347181062 1.339175903e-14 0
0.21 -3.385277152e-05 -0.06094718907 2.156 0.02325648018 0.111461626 0.1347181062 1.400984022e-14 0
0.22 -3.547241222e-05 -0.06094558437 2.156 0.02325626407 0.1114618421 0.1347181062 1.442189434e-14 0
0.23 -3.709274399e-05 -0.06094397968 2.156 0.02325604806 0.1114620581 0.1347181062 1.524600259e-14 0
0.24 -3.871376679e-05 -0.060942375 2.156 0.02325583213 0.111462274 0.1347181062 1.565805671e-14 -2.059782977e-16
0.25 -4.03354806e-05 -0.06094077033 2.156 0.0232556163 0.1114624899 0.1347181062 1.648216496e-14 -2.059782977e-16
0.26 -4.195788539e-05 -0.06093916567 2.156 0.02325540057 0.1114627056 0.1347181062 1.710024615e-14 -4.119565954e-16
0.27 -4.358098113e-05 -0.06093756101 2.156 0.02325518493 0.1114629212 0.1347181062 1.771832733e-14 -4.119565954e-16
0.28 -4.520476779e-05 -0.06093595636 2.156 0.02325496938 0.1114631368 0.1347181062 1.833640852e-14 -4.119565954e-16
0.29 -4.682924535e-05 -0.06093435172 2.156 0.02325475392 0.1114633522 0.1347181062 1.895448971e-14 -4.119565954e-16
0.3 -4.845441378e-05 -0.06093274709 2.156 0.02325453856 0.1114635676 0.1347181062 1.977859795e-14 -2.059782977e-16
0.31 -5.008027304e-05 -0.06093114248 2.156 0.02325432329 0.1114637829 0.1347181062 2.039667914e-14 -2.059782977e-16
0.32 -5.170682311e-05 -0.06092953787 2.156 0.02325410811 0.1114639981 0.1347181062 2.122078739e-14 -2.059782977e-16
0.33 -5.333406396e-05 -0.06092793327 2.156 0.02325389303 0.1114642131 0.1347181062 2.183886857e-14 -4.119565954e-16
0.34 -5.496199556e-05 -0.06092632868 2.156 0.02325367804 0.1114644281 0.1347181062 2.245694976e-14 -4.119565954e-16
0.35 -5.659061788e-05 -0.06092472411 2.156 0.02325346314 0.111464643 0.1347181062 2.307503095e-14 -4.119565954e-16
0.36 -5.821993089e-05 -0.06092311954 2.156 0.02325324834 0.1114648578 0.1347181062 2.369311213e-14 -4.119565954e-16
0.37 -5.984993457e-05 -0.06092151499 2.156 0.02325303363 0.1114650725 0.1347181062 2.431119332e-14 -4.119565954e-16
0.38 -6.148062888e-05 -0.06091991045 2.156 0.02325281902 0.1114652872 0.1347181062 2.492927451e-14 -4.119565954e-16
0.39 -6.311201378e-05 -0.06091830592 2.156 0.0232526045 0.1114655017 0.1347181062 2.575338275e-14 -4.119565954e-16
0.4 -6.474408927e-05 -0.0609167014 2.156 0.02325239007 0.1114657161 0.1347181062 2.637146394e-14 -4.119565954e-16
0.41 -6.637685529e-05 -0.0609150969 2.156 0.02325217573 0.1114659304 0.1347181062 2.698954513e-14 -4.119565954e-16
0.42 -6.801031183e-05 -0.06091349241 2.156 0.02325196149 0.1114661447 0.1347181062 2.760762631e-14 -4.119565954e-16
0.43 -6.964445884e-05 -0.06091188793 2.156 0.02325174735 0.1114663588 0.1347181062 2.82257075e-14 -4.119565954e-16
0.44 -7.127929631e-05 -0.06091028347 2.156 0.02325153329 0.1114665729 0.1347181062 2.884378868e-14 -4.119565954e-16
0.45 -7.29148242e-05 -0.06090867902 2.156 0.02325131933 0.1114667868 0.1347181062 2.966789693e-14 -4.119565954e-16
0.46 -7.455104248e-05 -0.06090707459 2.156 0.02325110547 0.1114670007 0.1347181062 3.028597812e-14 -4.119565954e-16
0.47 -7.618795112e-05 -0.06090547017 2.156 0.0232508917 0.1114672145 0.1347181062 3.09040593e-14 -4.119565954e-16
0.48 -7.782555008e-05 -0.06090386577 2.156 0.02325067802 0.1114674282 0.1347181062 3.152214049e-14 -2.059782977e-16
0.49 -7.946383934e-05 -0.06090226138 2.156 0.02325046443 0.1114676417 0.1347181062 3.214022168e-14 -2.059782977e-16
0.5 -8.110281887e-05 -0.06090065701 2.156 0.02325025094 0.1114678552 0.1347181062 3.296432992e-14 -4.119565954e-16
0.51 -8.274248862e-05 -0.06089905265 2.156 0.02325003754 0.1114680686 0.1347181062 3.337638405e-14 -4.119565954e-16
0.52 -8.438284858e-05 -0.06089744831 2.156 0.02324982424 0.1114682819 0.1347181062 3.42004923e-14 -4.119565954e-16
0.53 -8.602389871e-05 -0.06089584399 2.156 0.02324961103 0.1114684951 0.1347181062 3.502460054e-14 -4.119565954e-16
0.54 -8.766563898e-05 -0.06089423968 2.156 0.02324939792 0.1114687083 0.1347181062 3.543665467e-14 -4.119565954e-16
0.55 -8.930806935e-05 -0.0608926354 2.156 0.02324918489 0.1114689213 0.1347181062 3.605473585e-14 -4.119565954e-16
0.56 -9.09511898e-05 -0.06089103112 2.156 0.02324897197 0.1114691342 0.1347181062 3.667281704e-14 -2.059782977e-16
0.57 -9.259500028e-05 -0.06088942687 2.156 0.02324875913 0.111469347 0.1347181062 3.749692529e-14 0
0.58 -9.423950078e-05 -0.06088782264 2.156 0.02324854639 0.1114695598 0.1347181062 3.811500647e-14 -2.059782977e-16
0.59 -9.588469125e-05 -0.06088621842 2.156 0.02324833375 0.1114697724 0.1347181062 3.873308766e-14 -2.059782977e-16
