# t ax ay az
0 0.004030223593 -4.935600423e-19 -0.0001243896171
0.01 0.004030207864 7.240913641e-07 -0.0001244069187
0.02 0.004030192011 1.44817177e-06 -0.0001244242153
0.03 0.004030176034 2.1722412e-06 -0.0001244415067
0.04 0.004030159931 2.896299636e-06 -0.0001244587931
0.05 0.004030143705 3.620347058e-06 -0.0001244760743
0.06 0.004030127353 4.344383449e-06 -0.0001244933505
0.07 0.004030110877 5.06840879e-06 -0.0001245106216
0.08 0.004030094277 5.792423064e-06 -0.0001245278875
0.09 0.004030077552 6.51642625e-06 -0.0001245451484
0.1 0.004030060702 7.240418332e-06 -0.0001245624042
0.11 0.004030043728 7.96439929e-06 -0.0001245796549
0.12 0.00403002663 8.688369107e-06 -0.0001245969005
0.13 0.004030009406 9.412327764e-06 -0.0001246141409
0.14 0.004029992059 1.013627524e-05 -0.0001246313763
0.15 0.004029974586 1.086021152e-05 -0.0001246486066
0.16 0.00402995699 1.158413659e-05 -0.0001246658318
0.17 0.004029939269 1.230805042e-05 -0.0001246830519
0.18 0.004029921423 1.3031953e-05 -0.0001247002669
0.19 0.004029903453 1.375584431e-05 -0.0001247174767
0.2 0.004029885358 1.447972434e-05 -0.0001247346815
0.21 0.004029867139 1.520359305e-05 -0.0001247518812
0.22 0.004029848795 1.592745044e-05 -0.0001247690758
0.23 0.004029830327 1.665129649e-05 -0.0001247862653
0.24 0.004029811734 1.737513117e-05 -0.0001248034496
0.25 0.004029793017 1.809895448e-05 -0.0001248206289
0.26 0.004029774176 1.882276638e-05 -0.000124837803
0.27 0.00402975521 1.954656687e-05 -0.0001248549721
0.28 0.004029736119 2.027035593e-05 -0.0001248721361
0.29 0.004029716904 2.099413352e-05 -0.0001248892949
0.3 0.004029697565 2.171789965e-05 -0.0001249064486
0.31 0.004029678101 2.244165429e-05 -0.0001249235973
0.32 0.004029658513 2.316539742e-05 -0.0001249407408
0.33 0.0040296388 2.388912902e-05 -0.0001249578792
0.34 0.004029618963 2.461284908e-05 -0.0001249750125
0.35 0.004029599002 2.533655757e-05 -0.0001249921407
0.36 0.004029578916 2.606025448e-05 -0.0001250092638
0.37 0.004029558706 2.678393979e-05 -0.0001250263818
0.38 0.004029538371 2.750761348e-05 -0.0001250434947
0.39 0.004029517912 2.823127554e-05 -0.0001250606025
0.4 0.004029497329 2.895492594e-05 -0.0001250777051
0.41 0.004029476621 2.967856466e-05 -0.0001250948027
0.42 0.004029455789 3.04021917e-05 -0.0001251118951
0.43 0.004029434832 3.112580702e-05 -0.0001251289825
0.44 0.004029413751 3.184941062e-05 -0.0001251460647
0.45 0.004029392546 3.257300247e-05 -0.0001251631418
0.46 0.004029371216 3.329658255e-05 -0.0001251802138
0.47 0.004029349762 3.402015085e-05 -0.0001251972807
0.48 0.004029328184 3.474370735e-05 -0.0001252143424
0.49 0.004029306481 3.546725203e-05 -0.0001252313991
0.5 0.004029284654 3.619078487e-05 -0.0001252484506
0.51 0.004029262703 3.691430586e-05 -0.0001252654971
0.52 0.004029240627 3.763781497e-05 -0.0001252825384
0.53 0.004029218427 3.836131218e-05 -0.0001252995746
0.54 0.004029196103 3.908479749e-05 -0.0001253166057
0.55 0.004029173655 3.980827086e-05 -0.0001253336316
0.56 0.004029151082 4.053173229e-05 -0.0001253506525
0.57 0.004029128385 4.125518175e-05 -0.0001253676682
0.58 0.004029105563 4.197861923e-05 -0.0001253846788
0.59 0.004029082618 4.270204471e-05 -0.0001254016843
0.6 0.004029059548 4.342545816e-05 -0.0001254186847
0.61 0.004029036353 4.414885958e-05 -0.00012543568
0.62 0.004029013035 4.487224893e-05 -0.0001254526701
0.63 0.004028989592 4.559562621e-05 -0.0001254696552
0.64 0.004028966025 4.63189914e-05 -0.0001254866351
0.65 0.004028942334 4.704234448e-05 -0.0001255036099
0.66 0.004028918518 4.776568542e-05 -0.0001255205795
0.67 0.004028894578 4.848901422e-05 -0.0001255375441
0.68 0.004028870514 4.921233084e-05 -0.0001255545035
0.69 0.004028846326 4.993563529e-05 -0.0001255714578
0.7 0.004028822014 5.065892753e-05 -0.000125588407
0.71 0.004028797577 5.138220755e-05 -0.0001256053511
0.72 0.004028773016 5.210547532e-05 -0.00012562229
0.73 0.004028748331 5.282873084e-05 -0.0001256392238
0.74 0.004028723522 5.355197409e-05 -0.0001256561525
0.75 0.004028698588 5.427520504e-05 -0.0001256730761
0.76 0.004028673531 5.499842367e-05 -0.0001256899946
0.77 0.004028648349 5.572162998e-05 -0.0001257069079
0.78 0.004028623043 5.644482393e-05 -0.0001257238161
0.79 0.004028597612 5.716800552e-05 -0.0001257407192
0.8 0.004028572058 5.789117472e-05 -0.0001257576171
0.81 0.00402854638 5.861433152e-05 -0.0001257745099
0.82 0.004028520577 5.93374759e-05 -0.0001257913976
0.83 0.00402849465 6.006060783e-05 -0.0001258082802
0.84 0.004028468599 6.078372731e-05 -0.0001258251577
0.85 0.004028442424 6.150683431e-05 -0.00012584203
0.86 0.004028416124 6.222992881e-05 -0.0001258588972
0.87 0.004028389701 6.29530108e-05 -0.0001258757592
0.88 0.004028363153 6.367608026e-05 -0.0001258926162
0.89 0.004028336482 6.439913717e-05 -0.000125909468
0.9 0.004028309686 6.512218151e-05 -0.0001259263146
0.91 0.004028282766 6.584521327e-05 -0.0001259431562
0.92 0.004028255722 6.656823242e-05 -0.0001259599926
0.93 0.004028228554 6.729123895e-05 -0.0001259768239
0.94 0.004028201262 6.801423284e-05 -0.00012599365
0.95 0.004028173846 6.873721406e-05 -0.0001260104711
0.96 0.004028146305 6.946018262e-05 -0.000126027287
0.97 0.004028118641 7.018313847e-05 -0.0001260440977
0.98 0.004028090852 7.090608162e-05 -0.0001260609033
0.99 0.00402806294 7.162901203e-05 -0.0001260777038
1 0.004028034903 7.235192969e-05 -0.0001260944992
1.01 0.004028006742 7.307483458e-05 -0.0001261112894
1.02 0.004027978458 7.379772669e-05 -0.0001261280745
